station,trip,lag_ms,lag_samples,var_before,var_after
구로,1431 하교,0.0,0,6.701,7.265
구로,2118 하교,-96.0,-1536,6.701,7.265
가산디지털단지,0654 등교,0.0,0,18.031,18.532
가산디지털단지,0642 등교,288.0,4608,18.031,18.532
가산디지털단지,1431 하교,48.0,768,18.031,18.532
가산디지털단지,2118 하교,144.0,2304,18.031,18.532
독산,0654 등교,0.0,0,11.087,11.716
독산,0642 등교,496.0,7936,11.087,11.716
독산,1431 하교,96.0,1536,11.087,11.716
독산,2118 하교,208.0,3328,11.087,11.716
금천구청,0654 등교,0.0,0,12.479,12.138
금천구청,0642 등교,384.0,6144,12.479,12.138
금천구청,1431 하교,384.0,6144,12.479,12.138
금천구청,2118 하교,176.0,2816,12.479,12.138
석수,0654 등교,0.0,0,11.941,11.311
석수,0642 등교,400.0,6400,11.941,11.311
석수,1431 하교,496.0,7936,11.941,11.311
석수,2118 하교,-32.0,-512,11.941,11.311
관악,0654 등교,0.0,0,12.449,12.758
관악,0642 등교,-496.0,-7936,12.449,12.758
관악,1431 하교,128.0,2048,12.449,12.758
관악,2118 하교,160.0,2560,12.449,12.758
안양,0654 등교,0.0,0,13.146,13.35
안양,0642 등교,-384.0,-6144,13.146,13.35
안양,1431 하교,-496.0,-7936,13.146,13.35
안양,2118 하교,304.0,4864,13.146,13.35
명학,0654 등교,0.0,0,9.239,9.754
명학,0642 등교,-80.0,-1280,9.239,9.754
명학,1431 하교,80.0,1280,9.239,9.754
명학,2118 하교,-48.0,-768,9.239,9.754
금정,0654 등교,0.0,0,14.07,13.975
금정,0642 등교,-480.0,-7680,14.07,13.975
금정,1431 하교,-144.0,-2304,14.07,13.975
금정,2118 하교,-16.0,-256,14.07,13.975
군포,0654 등교,0.0,0,11.365,11.803
군포,0642 등교,16.0,256,11.365,11.803
군포,1431 하교,-48.0,-768,11.365,11.803
군포,2118 하교,0.0,0,11.365,11.803
당정,0654 등교,0.0,0,9.909,10.058
당정,0642 등교,-208.0,-3328,9.909,10.058
당정,1431 하교,-384.0,-6144,9.909,10.058
당정,2118 하교,-32.0,-512,9.909,10.058
의왕,0654 등교,0.0,0,9.616,9.768
의왕,0642 등교,-80.0,-1280,9.616,9.768
의왕,1431 하교,-480.0,-7680,9.616,9.768
의왕,2118 하교,-288.0,-4608,9.616,9.768
성균관대,0654 등교,0.0,0,6.86,6.77
성균관대,0642 등교,112.0,1792,6.86,6.77
